单词,美音,definition,简明释义,精选短语
cheese,/ tʃiːz /,a yellow or white food made from milk,n. 干酪，奶酪；（拍照时让人微笑的用语）笑一笑 v. <英，非正式>激怒，使厌烦；停止,cream cheese: n. 奶油干酪 | cheese cake: n. 干酪饼；富于性感的半裸体美女照 | big cheese: 大人物，重要人物；愚蠢或粗鲁的男人
trigger,/ ˈtrɪɡər /,to make something start happening,n. （枪械等的）扳机；（尤指引发不良反应或发展的）起因，诱因 v. 引发，激发；起动，触发 其他 【名】 （Trigger）特里杰（人名）,trigger circuit: [计]触发电路；同步起动电路 | trigger pulse: 触发脉冲 | pull the trigger: 开枪
pipe,/ paɪp /,"tube a round, hollow piece of metal, plastic, or wood",n. 管子，管道；烟斗 v. 用管道运输；传送，播送（音乐、录音） 其他 【名】 （Pipe）（匈）皮佩，（英）派普（人名）,steel pipe: 钢管 | heat pipe: 热管；热导管 | pipe in: v. 用电讯设备传送；用管道输入；吹奏管乐器迎入
destruction,/ dɪˈstrʌkʃn /,damaging something so badly that it no longer exists,n. 破坏，摧毁,destruction of: 摧毁 | weapons of mass destruction: 大规模杀伤性武器 | environmental destruction: 环境破坏
guitar,/ ɡɪˈtɑːr /,stringed musical instrument played with the fingers,n. 吉他，六弦琴,play the guitar: 弹吉他，玩吉他 | electric guitar: 电吉他 | acoustic guitar: 原声吉他；木吉他
flag,/ flæɡ /,"piece of cloth, frequently marked with a colorful symbol or sign",n. 旗帜；国旗 v. 给……做标记；示意……停下来，挥手示停,red flag: n. 红旗；危险信号；[喻]惹人生气的事物 | national flag: n. 国旗 | white flag: 白旗（表示投降）；降旗
piano,/ piˈænoʊ /,keyboard instrument used for playing music,n. 钢琴 n. （Piano）人名；（法、意、葡）皮亚诺,play the piano: 弹钢琴 | piano music: 钢琴曲 | play piano: 弹钢琴
magic,/ ˈmædʒɪk /,a special power that allows impossible things to happen,n. 魔法，法术；魔术，戏法 adj. 魔术的，戏法的；魔法的，魔力的 v. （像）用魔法变出（或使消失、使变成……等） 其他 【名】 （Magic）（美）马吉克（人名）,black magic: n. 魔法；巫术 | magic art: 魔术；妖术；巫术 | as if by magic: adv. 不可思议地
mystery,/ ˈmɪstəri /,"book, play, or film that deals with a solution of a strange crime",n. 难以理解（或解释）的事物，奥秘；神秘的人（或事物） adj. 神秘的，身份不明的,murder mystery: 谋杀之谜
ski,/ skiː /,one of a pair of long flat boards attached to boots for moving smoothly over snow,n. 滑雪（水）板；（车辆的）滑橇 v. 滑雪，滑水 adj. 滑雪的，滑水的,ski resort: 滑雪胜地 | water ski: 滑水橇 | ski jumping: 跳台滑雪（滑雪运动项目之一）
whisper,/ ˈwɪspər /,to talk with breath but no voice,v. 耳语，低语，小声说；（私下或秘密地）传说（某事），谣传 n. 耳语（声），低语（声），私语（声）；沙沙声，飒飒声，潺潺声,in a whisper: 低声地，悄声地
rear,/ rɪr /,towards the back part of something,n. （尤指建筑物或车辆等的）后部，背部（the rear）；（队列的）后方，后尾部队（或舰队） adj. 后方的，背部的 v. 养育，饲养；栽种，培植 adv. 向后，在后面,front and rear: 在前后 | rear axle: 后桥；后轴 | rear wheel: 后轮；后车轮
menu,/ ˈmenjuː /,list of dishes available at a restaurant,n. 菜单；饭菜，菜肴,menu item: [计]菜单项 | menu bar: n. [计]菜单栏 | main menu: 主菜单；主选单；炙单
species,/ ˈspiːʃiːz /,a group of related animals or plant,n. （动植物的）种，物种；种类 adj. 原种的,species diversity: 物种多样性；歧异度 | species composition: 物种组成；种类成分 | species richness: 物种丰富度；种繁富度
moon,/ muːn /,round object circling the earth at night,n. 月亮，月球；月光 v. 懒散度日，浪荡；出神，呆视 其他 【名】 （Moon）（英）穆恩，（瑞典）莫恩，（柬）蒙，（缅）孟（人名）,on the moon: 在月球上 | full moon: 满月 | moon cake: n. 月饼
presumably,/ prɪˈzuːməbli /,concerning a true or likely nature,adv. 大概，可能,
bless,/ bles /,to ask the gods to protect someone or something,v. 求上帝保佑，祈神赐福，祝福；祝圣，使圣洁 int. <英>哎呀，太好啦，太谢谢了 其他 【名】 （Bless）（英、意、德、匈）布莱斯（人名）,god bless: 上帝保佑
airline,/ ˈerlaɪn /,company that flies passengers in its planes,n. 航空公司；输气管（air line） adj. 航线的,airline ticket: 飞机票 | airline industry: 航空公司；航线 | airline company: 航空公司
amendment,/ əˈmendmənt /,"a change, addition, or improvement to something",n. 修正，修订之处；美国宪法修正案（Amendment）,first amendment: 第一修正案（美国宪法，内容有关新闻、出版自由等） | constitutional amendment: 宪法修正案，修宪 | soil amendment: 土壤改良；土壤改良剂
grandmother,/ ˈɡrænmʌðər /,mother of your mother or father,n. （外）祖母，奶奶，外婆；女祖先,maternal grandmother: 外祖母；外婆；姥姥
jury,/ ˈdʒʊri /,group of people who listen to information about something and make a decision,n. 陪审团；（竞赛的）裁判委员会 adj. （航海时）应急的 v. <美>鉴定，评审（艺术品、工艺品展览会或展品） 其他 【名】 （Jury）（英、法）朱里，（西）胡里，（德）尤里（人名）,grand jury: [法]大陪审团 | jury trial: 陪审团审案 | trial by jury: 陪审审判
cooperation,/ koʊˌɑːpəˈreɪʃ(ə)n /,a situation where everyone works together to get something done,n. 合作，协作；协助，配合,economic cooperation: 经济合作 | international cooperation: 国际合作 | in cooperation with: 与…合作
civilian,/ səˈvɪliən /,ordinary person who is not in the army,n. 平民，百姓（区别于军、警） adj. 平民的，民用的,civilian use: 民用 | civilian casualties: 平民伤亡；平民死伤；民众伤亡 | civilian population: 平民；平均人口
composition,/ ˌkɑːmpəˈzɪʃ(ə)n /,something that is created from different parts to make something new,n. 成分构成，成分；（音乐、艺术、诗歌的）作品,chemical composition: 化学成分；化学组成 | mineral composition: 矿物组成，矿物成分 | phase composition: 相组成；相成分；相位成分
coin,/ kɔɪn /,"a small, flat piece of metal used as money",n. 硬币，金属货币；塔罗牌中的一种花色（coins） v. 创造新词，首次使用；铸币，造币 其他 【名】 （Coin）（西、意）科因，（法）库安（人名）,gold coin: 金币；小钱 | false coin: n. 假币 | silver coin: 银币
regardless,/ rɪˈɡɑːrdləs /,without being affected or concerned by something difficult or troubling,adv. 不顾，不加理会；不管怎样，无论如何 adj. 不管的，不注意的,regardless of: 不顾，不管
scan,/ skæn /,to look within something for a particular person or thing,vt. 细看，审视；粗略看，浏览 n. 快速查阅，浏览；（医疗）扫描检查,ct scan: 电脑断层扫描 | line scan: [计]行扫描 | scan rate: 扫描速率；扫描率
bunch,/ bʌntʃ /,group of things of the same kind,n. 束，串，扎；一伙，一群 v. 捆，扎，使集中；收紧，起褶 其他 【名】 （Bunch）（英）邦奇（人名）,a bunch of: 一群；一束；一堆 | a bunch of flowers: 一束花 | a bunch of grapes: 一串葡萄
racial,/ ˈreɪʃ(ə)l /,relating to a person's group based on inherited physical appearance,adj. 种族关系的，种族之间的；人种的，种族的,racial discrimination: 种族歧视 | racial prejudice: 种族偏见 | racial segregation: 种族隔离
greet,/ ɡriːt /,to meet someone with friendly words and actions; to welcome,v. 欢迎，迎接；对……作出反应 其他 【名】 （Greet）（英）格里特（人名）,greet something with something: 对某事作出某种反应
hopefully,/ ˈhoʊpfəli /,in a manner wishing something to happen,adv. 有希望地，有前途地,
sanction,/ ˈsæŋkʃ(ə)n /,action taken to force a country to obey laws,n. 制裁；处罚，惩罚 v. 认可，准许；对……实施制裁，处罚,legal sanction: n. 法律制裁 | economic sanction: [经]经济制裁
trick,/ trɪk /,to make someone believe something that is not true,n. 花招，诡计，骗局；窍门，技巧 v. 欺骗，哄骗；（纹章）（用由字母、符号标明的颜色）给（盾形徽章）勾勒轮廓 adj. 骗人的，使人产生错觉的；<美>（身体部位）虚弱的，有毛病的 其他 【名】 （Trick）（英）特里克（人名）,do the trick: 获得成功 | trick or treat: 不招待就使坏（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗） | hat trick: 帽子戏法（指连入三球），[板球]连中三柱（使对方三击球手退场）
paragraph,/ ˈpærəɡræf /,section of writing that usually deals with one subject,n. （文章的）段，段落；段落符号 v. 把（文章）分段,new paragraph: 另起一行，新段落 | opening paragraph: 开始部分
maker,/ ˈmeɪkər /,"person, company, or object that creates things",n. 制造者；造物主 n. (Maker)人名；(英)马克尔,decision maker: 决策人 | coffee maker: n. 咖啡壶；咖啡机 | film maker: n. 电影导演；电影制作人
chocolate,/ ˈtʃɔːklət /,a sweet brown food made from cocoa beans,n. 巧克力，朱古力；巧克力糖，夹心巧克力糖 adj. 巧克力的，巧克力味的 其他 【名】 （Chocolate）（葡）绍科拉特（人名）,dark chocolate: 黑巧克力 | chocolate cake: 巧克力蛋糕 | hot chocolate: 热巧克力；巧克力热饮
stimulate,/ ˈstɪmjuleɪt /,excite to action,v. 促进，激发（某事物）；激发，鼓励,stimulate economic growth: 拉动经济增长 | stimulate domestic demand: 刺激国内需求
belt,/ belt /,band of material worn around a person's waist,n. 腰带，皮带；传送带 v. 用腰带系紧；狠打，猛击 其他 【名】 （Belt）（英、法、德、西）贝尔特（人名）,belt conveyor: 皮带运输机，带式运输机 | conveyor belt: 传送带 | orogenic belt: 造山带
potato,/ pəˈteɪtoʊ /,edible vegetable,n. 马铃薯，土豆，洋芋；马铃薯植株,sweet potato: 甘薯 | potato starch: 马铃薯淀粉；生粉；太白粉（台湾叫法） | sweet potato starch: 甘薯淀粉；蕃薯粉；地瓜粉
narrative,/ ˈnærətɪv /,the telling of a story,n. 记叙文，叙述；叙事技巧 adj. 叙述的；叙事体的,narrative poem: 叙事诗；叙述诗 | narrative therapy: 叙事疗法
tissue,/ ˈtɪʃuː /,"piece of thin, soft paper",n. 纸巾，面巾纸；（动物或植物的细胞）组织 v. 用化妆纸揩去；饰以薄纱,tissue engineering: 组织工程学 | soft tissue: 软组织 | tissue culture: 组织培养；体素培养
barely,/ ˈberli /,almost not possible or does not happen,adv. 勉强才能；几乎不，几乎没有,
invent,/ ɪnˈvent /,to create something useful for the first time,v. 发明，创造；编造，虚构,
tourism,/ ˈtʊrɪzəm /,"traveling to new places (e.g., abroad, for vacations)",n. 旅游业，观光业；旅游，观光,tourism industry: 旅游业 | tourism management: 旅游管理 | tourism resource: 旅游资源；观光资源
pro,/ proʊ /,someone who earns money doing something they are particularly good at,n. <非正式>专业人士，职业选手；<非正式>（网球或高尔夫球俱乐部的）专职教练 adj. <美，非正式>职业性的，专业的 prep. 支持，赞成 adv. 正面地，赞成地 其他 【名】 （Pro）（俄、美、意、印、西）普罗（人名）,pro and con: 正反双方；正面和反面 | pro forma: （拉）形式上的；估计的 | pro bono: 无偿的；为了公益；为慈善机构和穷人提供的免费专业服务
stair,/ ster /,steps that go from one level to another,n. 楼梯，阶梯（stairs）；梯级 其他 【名】 （Stair）（英、葡）斯泰尔（人名）,below stairs: 在地下室；在楼下 | stair railing: 楼梯栏杆 | winding stair: 盘旋柱，旋梯
hesitate,/ ˈhezɪteɪt /,to stop before doing something because you are unsure what to do,v. 犹豫，不愿意,don't hesitate: 别再犹豫了 | hesitate in: 吞吞吐吐
shine,/ ʃaɪn /,to make bright light,v. （太阳或其他光源）发光，照耀；（用电筒等）照射 n. 光亮，光泽；擦亮 其他 【名】 （Shine） （英）夏因，（日）新荣（人名）,shine on: 发光；闪耀；照在…上 | shine in: 照射进来 | shine through: 表现出来
